2025-01-19 15:46:04 install libsemanage-common:all <none> 2.6-2
2025-01-19 15:46:04 status half-installed libsemanage-common:all 2.6-2
2025-01-19 15:46:04 status unpacked libsemanage-common:all 2.6-2
2025-01-19 15:46:04 status unpacked libsemanage-common:all 2.6-2
2025-01-19 15:46:04 install libsemanage1:armel <none> 2.6-2
2025-01-19 15:46:04 status half-installed libsemanage1:armel 2.6-2
2025-01-19 15:46:04 status unpacked libsemanage1:armel 2.6-2
2025-01-19 15:46:04 status unpacked libsemanage1:armel 2.6-2
2025-01-19 15:46:05 install libsepol1:armel <none> 2.6-2
2025-01-19 15:46:05 status half-installed libsepol1:armel 2.6-2
2025-01-19 15:46:05 status unpacked libsepol1:armel 2.6-2
2025-01-19 15:46:05 status unpacked libsepol1:armel 2.6-2
2025-01-19 15:46:05 install libsmartcols1:armel <none> 2.29.2-1+deb9u1
2025-01-19 15:46:05 status half-installed libsmartcols1:armel 2.29.2-1+deb9u1
2025-01-19 15:46:05 status unpacked libsmartcols1:armel 2.29.2-1+deb9u1
2025-01-19 15:46:05 status unpacked libsmartcols1:armel 2.29.2-1+deb9u1
2025-01-19 15:46:05 install libss2:armel <none> 1.43.4-2+deb9u1
2025-01-19 15:46:05 status half-installed libss2:armel 1.43.4-2+deb9u1
2025-01-19 15:46:05 status unpacked libss2:armel 1.43.4-2+deb9u1
2025-01-19 15:46:05 status unpacked libss2:armel 1.43.4-2+deb9u1
2025-01-19 15:46:05 install libsystemd0:armel <none> 232-25+deb9u12
2025-01-19 15:46:05 status half-installed libsystemd0:armel 232-25+deb9u12
2025-01-19 15:46:05 status unpacked libsystemd0:armel 232-25+deb9u12
2025-01-19 15:46:05 status unpacked libsystemd0:armel 232-25+deb9u12
2025-01-19 15:46:05 install libtinfo5:armel <none> 6.0+20161126-1+deb9u2
2025-01-19 15:46:05 status half-installed libtinfo5:armel 6.0+20161126-1+deb9u2
2025-01-19 15:46:05 status unpacked libtinfo5:armel 6.0+20161126-1+deb9u2
2025-01-19 15:46:05 status unpacked libtinfo5:armel 6.0+20161126-1+deb9u2
2025-01-19 15:46:05 install libudev1:armel <none> 232-25+deb9u12
2025-01-19 15:46:05 status half-installed libudev1:armel 232-25+deb9u12
2025-01-19 15:46:05 status unpacked libudev1:armel 232-25+deb9u12
